ID,OBJECTID,ISO,P_Code,M_Code,Municipality,Area (km2),Avg. Elevation (m),Perimeter (m),Coastline length (m),C/P Ratio,Distance to coastline (m. mean),Distance to coastline (m. stdev),Ruggedness index (mean),Ruggedness index (stdev),Slope (mean),Slope (stdev),Landuse (Most common),Population 2010 census,Population 2013 est.,Population 2015 census,Pop. Density 2015 per km2,Poverty (%),Avg. Windspeed (km/h),Distance from typhoon path (km),Area Flooded (%),Rainfallme,Surge Height int. (m),Surge risk class (REACH),People affected,People affected (% 2010),Houses damaged,rain_oct18-20,rain oct11-18
,71,PHL,PH010000000,PH013314000,CITY OF SAN FERNANDO (Capital),99.006,,,,,,,,,,,,,,121812,1230.349676,1.906216136,52.35719826,179.6208365,,771.589579,,,,,,649.208747,122.3808321
,72,PHL,PH010000000,PH013315000,SAN GABRIEL,121.922,,,,,,,,,,,,,,18172,149.0461114,7.429011666,59.29554499,167.1877688,,749.4,,,,,,632.4,117
,73,PHL,PH010000000,PH013316000,SAN JUAN,50.652,,,,,,,,,,,,,,37188,734.1862118,3.557599226,57.48512889,172.8230629,,777.2456056,,,,,,672.3736304,104.8719752
,74,PHL,PH010000000,PH013317000,SANTO TOMAS,41.027,,,,,,,,,,,,,,39092,952.8359373,4.576383915,50,211.9715215,,623.877592,,,,,,342.8207394,281.0568526
,75,PHL,PH010000000,PH013318000,SANTOL,114.282,,,,,,,,,,,,,,12476,109.168548,8.287912793,60,159.4980044,,738.8,,,,,,649.45,89.35
,76,PHL,PH010000000,PH013319000,SUDIPEN,89.948,,,,,,,,,,,,,,17056,189.6206697,4.643527205,60,149.7664264,,693.3854303,,,,,,584.4113726,108.9740576
,77,PHL,PH010000000,PH013320000,TUBAO,54.395,,,,,,,,,,,,,,28729,528.1551613,5.095896133,50,203.6442546,,596.7193134,,,,,,358.7267138,237.9925995
,78,PHL,PH010000000,PH015501000,AGNO,166.129,,,,,,,,,,,,,,28052,168.8567318,7.874661343,40.91757948,254.6831691,,523.395715,,,,,,338.082438,185.3132771
,79,PHL,PH010000000,PH015502000,AGUILAR,158.077,,,,,,,,,,,,,,41463,262.2962227,6.432240793,40,264.0660505,,741.3864904,,,,,,327.5312533,413.8552371
,80,PHL,PH010000000,PH015503000,CITY OF ALAMINOS,162.07,,,,,,,,,,,,,,89708,553.5139137,3.893744148,41.80652873,242.176674,,664.35,,,,,,407.4,256.95
,81,PHL,PH010000000,PH015504000,ALCALA,58.592,,,,,,,,,,,,,,43402,740.7495904,3.481406387,40,250.7725034,,816.6424835,,,,,,319.2788927,497.3635908
,82,PHL,PH010000000,PH015505000,ANDA,77.781,,,,,,,,,,,,,,39504,507.8875304,5.888011341,50,227.8603435,,771.8527548,,,,,,545.1726692,226.6800856
,83,PHL,PH010000000,PH015506000,ASINGAN,78.501,,,,,,,,,,,,,,57355,730.6276353,2.573446081,48.42688064,229.2518984,,753.0654019,,,,,,307.1971436,445.8682583
,84,PHL,PH010000000,PH015507000,BALUNGAO,68.383,,,,,,,,,,,,,,31106,454.8791366,3.957435864,40.33664365,238.4714253,,807.1147719,,,,,,290.5074311,516.6073408
,85,PHL,PH010000000,PH015508000,BANI,182.184,,,,,,,,,,,,,,50306,276.1274316,5.639486344,41.56784178,241.6689975,,475.3,,,,,,314.4,160.9
,86,PHL,PH010000000,PH015509000,BASISTA,25.625,,,,,,,,,,,,,,32959,1286.204878,5.006219849,40,253.357974,,824.914738,,,,,,366.5033757,458.4113623
,87,PHL,PH010000000,PH015510000,BAUTISTA,41.439,,,,,,,,,,,,,,32307,779.6278868,4.596527068,40,255.5664916,,804.8571036,,,,,,298.818791,506.0383126
,88,PHL,PH010000000,PH015511000,BAYAMBANG,136.903,,,,,,,,,,,,,,118205,863.4215466,5.52514699,40,259.2463774,,862.3,,,,,,408.65,453.65
,89,PHL,PH010000000,PH015512000,BINALONAN,56.564,,,,,,,,,,,,,,54555,964.4827099,2.604710842,50,225.4567592,,691.1002585,,,,,,305.7880773,385.3121812
,90,PHL,PH010000000,PH015513000,BINMALEY,63.822,,,,,,,,,,,,,,83052,1301.306759,4.144391466,44.09697168,243.7508839,,761.802152,,,,,,365.121223,396.680929
,91,PHL,PH010000000,PH015514000,BOLINAO,206.48,,,,,,,,,,,,,,82084,397.5397133,4.473466205,49.67280321,229.3136997,,601.3055171,,,,,,443.6706232,157.6348939
,92,PHL,PH010000000,PH015515000,BUGALLON,178.816,,,,,,,,,,,,,,67348,376.6329635,6.003147829,40,257.1438852,,641.4,,,,,,303.15,338.25
,93,PHL,PH010000000,PH015516000,BURGOS,115.487,,,,,,,,,,,,,,21637,187.3544208,6.008226649,40.05075305,260.5305579,,528.7452583,,,,,,306.0201395,222.7251188
,94,PHL,PH010000000,PH015517000,CALASIAO,47.493,,,,,,,,,,,,,,95154,2003.537363,4.554721819,42.45678765,242.0316467,,762.9536011,,,,,,361.9538899,400.9997112
,95,PHL,PH010000000,PH015518000,DAGUPAN CITY,43.245,,,,,,,,,,,,,,171271,3960.48098,2.46801852,49.96402326,236.4937848,,786.5518105,,,,,,389.1118748,397.4399357
,96,PHL,PH010000000,PH015519000,DASOL,177.924,,,,,,,,,,,,,,29110,163.6091814,5.056681553,40,266.4502697,,634.9450417,,,,,,315.8873118,319.0577299
,97,PHL,PH010000000,PH015520000,INFANTA,192.988,,,,,,,,,,,,,,24584,127.3861587,5.568662545,40,269.9796266,,657.1013217,,,,,,302.4843865,354.6169352
,98,PHL,PH010000000,PH015521000,LABRADOR,103.195,,,,,,,,,,,,,,23201,224.8267842,4.456704452,41.79349787,251.9654461,,722.7445038,,,,,,339.1023228,383.642181
,99,PHL,PH010000000,PH015522000,LINGAYEN (Capital),71.52,,,,,,,,,,,,,,103278,1444.043624,4.5750305,43.92161206,246.9674877,,765.538987,,,,,,364.8172309,400.7217561
,100,PHL,PH010000000,PH015523000,MABINI,257.381,,,,,,,,,,,,,,24765,96.21922364,6.262870987,40,256.1334813,,584.25,,,,,,324.45,259.8
,101,PHL,PH010000000,PH015524000,MALASIQUI,138.075,,,,,,,,,,,,,,130275,943.5089625,5.079255421,40,246.5619608,,778.9243998,,,,,,341.8310215,437.0933783
,102,PHL,PH010000000,PH015525000,MANAOAG,52.186,,,,,,,,,,,,,,69497,1331.717319,3.502309452,48.55536275,232.166796,,679.0004848,,,,,,312.6490961,366.3513887
,103,PHL,PH010000000,PH015526000,MANGALDAN,48.381,,,,,,,,,,,,,,106331,2197.784254,3.113861433,50,233.360472,,685.4720381,,,,,,326.0785705,359.3934677
,104,PHL,PH010000000,PH015527000,MANGATAREM,308.595,,,,,,,,,,,,,,73241,237.3369627,6.738029246,40,271.5802798,,778.8,,,,,,345.1,433.7
,105,PHL,PH010000000,PH015528000,MAPANDAN,20.437,,,,,,,,,,,,,,37059,1813.328766,3.21109582,48.85095123,235.2020645,,706.9211286,,,,,,336.1750432,370.7460854
,106,PHL,PH010000000,PH015529000,NATIVIDAD,94.052,,,,,,,,,,,,,,24299,258.3570791,4.02485699,50,216.8694261,,638.8547367,,,,,,254.0423396,384.8123971
,107,PHL,PH010000000,PH015530000,POZORRUBIO,70.456,,,,,,,,,,,,,,69555,987.2118769,3.157213716,50,222.6787523,,698.003148,,,,,,355.46091,342.5422381
,108,PHL,PH010000000,PH015531000,ROSALES,72.419,,,,,,,,,,,,,,63081,871.0559384,3.294177328,40,242.8880274,,811.5696978,,,,,,290.0455122,521.5241856
,109,PHL,PH010000000,PH015532000,SAN CARLOS CITY,148.008,,,,,,,,,,,,,,188571,1274.05951,4.201600458,40,252.064025,,757.8,,,,,,339.8,418
,110,PHL,PH010000000,PH015533000,SAN FABIAN,75.906,,,,,,,,,,,,,,83025,1093.787052,4.395061728,50,223.3731032,,672.524454,,,,,,326.3475706,346.1768834
,111,PHL,PH010000000,PH015534000,SAN JACINTO,42.402,,,,,,,,,,,,,,40848,963.3507853,4.200940071,50,228.4054648,,696.4704417,,,,,,337.5814944,358.8889473
,112,PHL,PH010000000,PH015535000,SAN MANUEL,137.77,,,,,,,,,,,,,,52939,384.2563693,3.995164246,50,217.5605694,,692.2,,,,,,343.5,348.7
,113,PHL,PH010000000,PH015536000,SAN NICOLAS,225.363,,,,,,,,,,,,,,35574,157.8519988,4.629785799,50,211.2451687,,671.6,,,,,,296.65,374.95
,114,PHL,PH010000000,PH015537000,SAN QUINTIN,85.747,,,,,,,,,,,,,,32945,384.2116925,4.261648202,50,223.8609292,,693.473779,,,,,,255.9696179,437.5041611
,115,PHL,PH010000000,PH015538000,SANTA BARBARA,62.649,,,,,,,,,,,,,,82012,1309.071174,3.732380627,41.73036946,239.6103196,,739.2976994,,,,,,351.151447,388.1462524
,116,PHL,PH010000000,PH015539000,SANTA MARIA,46.695,,,,,,,,,,,,,,33038,707.5275725,3.447545251,48.60182867,230.6822754,,794.2516135,,,,,,294.5844688,499.6671447
,117,PHL,PH010000000,PH015540000,SANTO TOMAS,12.402,,,,,,,,,,,,,,15022,1211.256249,3.388363733,40,245.7161626,,800.1,,,,,,314.9,485.2
,118,PHL,PH010000000,PH015541000,SISON,154.971,,,,,,,,,,,,,,47518,306.6251105,3.360831685,50,215.8780873,,665.2277019,,,,,,341.4075265,323.8201754
,119,PHL,PH010000000,PH015542000,SUAL,132.901,,,,,,,,,,,,,,34149,256.9506625,6.070455943,44.57967855,245.4974459,,694.6920129,,,,,,365.7478926,328.9441203
,120,PHL,PH010000000,PH015543000,TAYUG,44.01,,,,,,,,,,,,,,43149,980.4362645,2.658230782,50,223.844988,,743.5882745,,,,,,313.2624992,430.3257753
,121,PHL,PH010000000,PH015544000,UMINGAN,258.603,,,,,,,,,,,,,,73252,283.2604417,4.41080107,45.45732095,232.6963663,,817.2666667,,,,,,287.3,529.9666667
,122,PHL,PH010000000,PH015545000,URBIZTONDO,40.39,,,,,,,,,,,,,,50170,1242.139143,5.581024517,40,259.4161301,,778.1321878,,,,,,342.9115781,435.2206098
,123,PHL,PH010000000,PH015546000,CITY OF URDANETA,95.631,,,,,,,,,,,,,,132940,1390.134998,2.918609899,42.15013742,235.8163383,,757.1680492,,,,,,322.5390809,434.6289683
,124,PHL,PH010000000,PH015547000,VILLASIS,80.927,,,,,,,,,,,,,,62333,770.2373744,3.089856095,40,241.8796169,,783.5342765,,,,,,318.8500956,464.6841809
,125,PHL,PH010000000,PH015548000,LAOAC,41.626,,,,,,,,,,,,,,31497,756.6665065,4.79093247,49.95335837,229.1883405,,671.0831187,,,,,,319.2718638,351.8112549
,126,PHL,PH020000000,PH020901000,BASCO (Capital),33.476,,,,,,,,,,,,,,8579,256.2731509,0,50,280.0173178,,15.32875418,,,,,,10.63776816,4.690986021
,127,PHL,PH020000000,PH020902000,ITBAYAT,89.279,,,,,,,,,,,,,,2867,32.11281488,0,49.79155996,305.0188739,,31.58572714,,,,,,27.20482928,4.380897859
,128,PHL,PH020000000,PH020903000,IVANA,14.698,,,,,,,,,,,,,,1327,90.28439243,0,50,269.3577668,,18.77340035,,,,,,8.729255536,10.04414481
,129,PHL,PH020000000,PH020904000,MAHATAO,11.555,,,,,,,,,,,,,,1555,134.5737776,0,50,273.1362314,,15.98886383,,,,,,8.88395201,7.104911819
